year	M_min_1519	M_min_2024	M_min_2534	M_min_3544	F_min_1519	F_min_2024	F_min_2534	F_min_3544	M_max_1519	M_max_2024	M_max_2534	M_max_3544	F_max_1519	F_max_2024	F_max_2534	F_max_3544
2000	235.72	621.78	268.11	78.78	891.08	1043.13	256.72	56.50	387.13	815.65	343.40	113.45	2488.61	1909.52	502.59	113.25
2001	255.74	717.71	291.66	81.78	987.54	1162.29	305.55	62.86	431.65	925.47	372.89	120.75	2589.47	2012.80	530.77	117.23
2002	318.64	849.12	330.59	87.76	1130.69	1293.26	311.35	66.98	519.31	1088.27	412.10	129.41	2756.42	2182.70	548.87	120.22
2003	356.31	969.36	345.83	93.99	1244.13	1401.95	327.83	68.26	589.83	1241.29	440.16	134.59	2871.20	2287.95	564.59	120.00
2004	424.54	1108.79	390.46	94.81	1508.32	1538.87	344.74	73.44	674.85	1383.75	490.85	138.50	2952.01	2388.40	572.35	118.39
2005	489.38	1189.15	408.37	97.15	1576.49	1588.28	344.58	64.60	736.81	1460.35	521.03	143.71	2968.36	2408.08	574.81	118.88
2006	534.98	1267.28	439.23	103.78	1594.22	1567.98	340.28	68.67	811.19	1572.87	565.80	155.25	2954.75	2417.35	581.61	114.98
2007	704.01	1415.61	474.56	110.74	2022.52	1782.31	381.26	74.74	912.52	1696.33	611.69	164.16	3033.98	2510.80	597.08	119.44
2008	946.86	1716.05	477.60	105.36	2979.62	2516.91	379.32	68.40	957.59	1751.47	632.62	163.72	2979.62	2516.91	603.98	117.34
2009	1020.21	1854.32	435.29	99.76	3033.93	2621.45	355.23	59.81	1032.55	1895.40	605.79	163.46	3033.93	2621.45	587.23	116.37
2010	1049.40	1879.06	416.27	94.50	2972.76	2598.68	318.87	61.45	1063.81	1927.99	605.96	163.17	2972.76	2598.68	566.19	115.81
2011	970.86	1754.04	414.80	91.40	2786.59	2547.12	327.17	64.93	989.92	1829.54	646.97	184.14	2786.59	2547.12	599.26	119.95
2012	935.48	1830.23	589.74	129.98	2791.78	2639.48	587.64	117.30	953.85	1913.67	678.69	186.83	2791.78	2639.48	587.64	117.30
