year	M_max_1519	M_max_2024	M_max_2534	M_max_3544	F_max_1519	F_max_2024	F_max_2534	F_max_3544
2000	387.13	815.65	343.4	113.45	2488.61	1909.52	502.59	113.25
2001	431.65	925.47	372.89	120.75	2589.47	2012.8	530.77	117.23
2002	519.31	1088.27	412.1	129.41	2756.42	2182.7	548.87	120.22
2003	589.83	1241.29	440.16	134.59	2871.2	2287.95	564.59	120
2004	674.85	1383.75	490.85	138.5	2952.01	2388.4	572.35	118.39
2005	736.81	1460.35	521.03	143.71	2968.36	2408.08	574.81	118.88
2006	811.19	1572.87	565.8	155.25	2954.75	2417.35	581.61	114.98
2007	912.52	1696.33	611.69	164.16	3033.98	2510.8	597.08	119.44
2008	957.59	1751.47	632.62	163.72	2979.62	2516.91	603.98	117.34
2009	1032.55	1895.4	605.79	163.46	3033.93	2621.45	587.23	116.37
2010	1063.81	1927.99	605.96	163.17	2972.76	2598.68	566.19	115.81
2011	989.92	1829.54	646.97	184.14	2786.59	2547.12	599.26	119.95

