year	M_mean_1519	M_mean_2024	M_mean_2534	M_mean_3544	F_mean_1519	F_mean_2024	F_mean_2534	F_mean_3544
2000	311.425	718.715	305.755	96.115	1689.845	1476.325	379.655	84.875
2001	343.695	821.59	332.275	101.265	1788.505	1587.545	418.16	90.045
2002	418.975	968.695	371.345	108.585	1943.555	1737.98	430.11	93.6
2003	473.07	1105.325	392.995	114.29	2057.665	1844.95	446.21	94.13
2004	549.695	1246.27	440.655	116.655	2230.165	1963.635	458.545	95.915
2005	613.095	1324.75	464.7	120.43	2272.425	1998.18	459.695	91.74
2006	673.085	1420.075	502.515	129.515	2274.485	1992.665	460.945	91.825
2007	808.265	1555.97	543.125	137.45	2528.25	2146.555	489.17	97.09
2008	952.225	1733.76	555.11	134.54	2979.62	2516.91	491.65	92.87
2009	1026.38	1874.86	520.54	131.61	3033.93	2621.45	471.23	88.09
2010	1056.605	1903.525	511.115	128.835	2972.76	2598.68	442.53	88.63
2011	980.39	1791.79	530.885	137.77	2786.59	2547.12	463.215	92.44
