year	M_min_1519	M_min_2024	M_min_2534	M_min_3544	F_min_1519	F_min_2024	F_min_2534	F_min_3544
2000	235.72	621.78	268.11	78.78	891.08	1043.13	256.72	56.5
2001	255.74	717.71	291.66	81.78	987.54	1162.29	305.55	62.86
2002	318.64	849.12	330.59	87.76	1130.69	1293.26	311.35	66.98
2003	356.31	969.36	345.83	93.99	1244.13	1401.95	327.83	68.26
2004	424.54	1108.79	390.46	94.81	1508.32	1538.87	344.74	73.44
2005	489.38	1189.15	408.37	97.15	1576.49	1588.28	344.58	64.6
2006	534.98	1267.28	439.23	103.78	1594.22	1567.98	340.28	68.67
2007	704.01	1415.61	474.56	110.74	2022.52	1782.31	381.26	74.74
2008	946.86	1716.05	477.6	105.36	2979.62	2516.91	379.32	68.4
2009	1020.21	1854.32	435.29	99.76	3033.93	2621.45	355.23	59.81
2010	1049.4	1879.06	416.27	94.5	2972.76	2598.68	318.87	61.45
2011	970.86	1754.04	414.8	91.4	2786.59	2547.12	327.17	64.93

