year	M_min_1519	M_min_2024	M_min_2534	M_min_3544	F_min_1519	F_min_2024	F_min_2534	F_min_3544	M_max_1519	M_max_2024	M_max_2534	M_max_3544	F_max_1519	F_max_2024	F_max_2534	F_max_3544
2000	1.12	2.92	2.01	0.76	3.14	5.46	2.71	1.15	1.99	3.88	2.46	1.03	9.72	11.15	5.38	2.36
2001	1.25	3.47	2.24	0.84	3.76	6.64	3.57	1.51	2.39	4.65	2.81	1.18	11.13	12.77	6.21	2.71
2002	1.63	4.35	2.65	1	4.8	8.47	4.33	1.94	3.08	5.78	3.26	1.37	12.97	14.93	7.03	3.1
2003	1.96	5.35	2.95	1.13	6.3	11.25	5.99	2.84	3.79	7.02	3.65	1.51	14.93	17.12	7.92	3.48
2004	2.42	6.22	3.54	1.32	8.49	14.05	7.28	3.58	4.66	8.15	4.32	1.76	16.84	19.28	8.92	3.91
2005	3.06	7.13	3.95	1.46	10.33	15.57	8.01	3.95	5.65	9.21	4.85	1.96	18.97	21.52	9.92	4.38
2006	3.49	7.83	4.3	1.57	11.14	16.26	8.24	4.09	6.81	10.42	5.39	2.16	21.21	23.77	10.91	4.86
2007	5.48	9.31	4.91	1.82	15.15	18.69	9.05	4.46	8.42	12.12	6.2	2.48	24.23	27.19	12.4	5.53
2008	10.21	13.4	5.29	1.98	27.31	30.42	9.88	4.79	10.35	13.85	6.81	2.77	27.31	30.42	13.78	6.22
2009	16.09	18.76	5.34	2.01	35.7	38.81	10.43	5.18	16.25	19.29	7.11	2.93	35.7	38.81	14.8	6.83
2010	23.86	23.33	5.42	2.07	42.99	43.28	10.41	5.16	24.05	23.93	7.51	3.14	42.99	43.28	15.97	7.53
2011	18.99	19.78	5.43	2.06	39.28	41.56	10.63	5.27	19.23	20.6	8.05	3.37	39.28	41.56	17.47	8.37
2012	14.21	18.24	7.74	3.02	33.93	39.85	19.2	9.31	14.47	19.18	8.76	3.68	33.93	39.85	19.2	9.31
