year	M_max_1519	M_max_2024	M_max_2534	M_max_3544	F_max_1519	F_max_2024	F_max_2534	F_max_3544
2000	1.99	3.88	2.46	1.03	9.72	11.15	5.38	2.36
2001	2.39	4.65	2.81	1.18	11.13	12.77	6.21	2.71
2002	3.08	5.78	3.26	1.37	12.97	14.93	7.03	3.1
2003	3.79	7.02	3.65	1.51	14.93	17.12	7.92	3.48
2004	4.66	8.15	4.32	1.76	16.84	19.28	8.92	3.91
2005	5.65	9.21	4.85	1.96	18.97	21.52	9.92	4.38
2006	6.81	10.42	5.39	2.16	21.21	23.77	10.91	4.86
2007	8.42	12.12	6.2	2.48	24.23	27.19	12.4	5.53
2008	10.35	13.85	6.81	2.77	27.31	30.42	13.78	6.22
2009	16.25	19.29	7.11	2.93	35.7	38.81	14.8	6.83
2010	24.05	23.93	7.51	3.14	42.99	43.28	15.97	7.53
2011	19.23	20.6	8.05	3.37	39.28	41.56	17.47	8.37

