year	M_mean_1519	M_mean_2024	M_mean_2534	M_mean_3544	F_mean_1519	F_mean_2024	F_mean_2534	F_mean_3544
2000	1.555	3.4	2.235	0.895	6.43	8.305	4.045	1.755
2001	1.82	4.06	2.525	1.01	7.445	9.705	4.89	2.11
2002	2.355	5.065	2.955	1.185	8.885	11.7	5.68	2.52
2003	2.875	6.185	3.3	1.32	10.615	14.185	6.955	3.16
2004	3.54	7.185	3.93	1.54	12.665	16.665	8.1	3.745
2005	4.355	8.17	4.4	1.71	14.65	18.545	8.965	4.165
2006	5.15	9.125	4.845	1.865	16.175	20.015	9.575	4.475
2007	6.95	10.715	5.555	2.15	19.69	22.94	10.725	4.995
2008	10.28	13.625	6.05	2.375	27.31	30.42	11.83	5.505
2009	16.17	19.025	6.225	2.47	35.7	38.81	12.615	6.005
2010	23.955	23.63	6.465	2.605	42.99	43.28	13.19	6.345
2011	19.11	20.19	6.74	2.715	39.28	41.56	14.05	6.82

