year	M_min_1519	M_min_2024	M_min_2534	M_min_3544	F_min_1519	F_min_2024	F_min_2534	F_min_3544
2000	1.12	2.92	2.01	0.76	3.14	5.46	2.71	1.15
2001	1.25	3.47	2.24	0.84	3.76	6.64	3.57	1.51
2002	1.63	4.35	2.65	1	4.8	8.47	4.33	1.94
2003	1.96	5.35	2.95	1.13	6.3	11.25	5.99	2.84
2004	2.42	6.22	3.54	1.32	8.49	14.05	7.28	3.58
2005	3.06	7.13	3.95	1.46	10.33	15.57	8.01	3.95
2006	3.49	7.83	4.3	1.57	11.14	16.26	8.24	4.09
2007	5.48	9.31	4.91	1.82	15.15	18.69	9.05	4.46
2008	10.21	13.4	5.29	1.98	27.31	30.42	9.88	4.79
2009	16.09	18.76	5.34	2.01	35.7	38.81	10.43	5.18
2010	23.86	23.33	5.42	2.07	42.99	43.28	10.41	5.16
2011	18.99	19.78	5.43	2.06	39.28	41.56	10.63	5.27

